"Name","Type","kind","Location","Subscription","Resource group","Tags","extendedLocation"
"adam9911","Event Hubs Cluster","","Southeast Asia","Vuk123","rg-admin-5752_ai","{""agent_alert_category"":""evaluation"",""__SYSTEM__AzureOpenAI_vuk123resource_aoai"":""/subscriptions/0f5d8654-ca42-4917-a74a-c39a397f3998/resourceGroups/vubaongoc/providers/Microsoft.CognitiveServices/accounts/vuk123-resource""}","null"
"adam9911","Storage Sync Service","","Southeast Asia","Vuk123","rg-admin-5752_ai","{""_created_by_policy"":""true"",""__SYSTEM__AzureOpenAI_vuk123resource_aoai"":""/subscriptions/0f5d8654-ca42-4917-a74a-c39a397f3998/resourceGroups/vubaongoc/providers/Microsoft.CognitiveServices/accounts/vuk123-resource"",""agent_alert_category"":""evaluation""}","null"
"adam9911","Stream Analytics cluster","","Southeast Asia","Vuk123","rg-admin-5752_ai","{""source"":""AzurePortal"",""__SYSTEM__AIServices_ai-ad1706ai681461480614"":""/subscriptions/8eaf8250-6182-4d7b-9c43-0b6927cd867d/resourceGroups/rg-Ad-6490_ai/providers/Microsoft.CognitiveServices/accounts/ai-ad1706ai681461480614"",""__SYSTEM__AzureOpenAI_vuk123resource_aoai"":""/subscriptions/0f5d8654-ca42-4917-a74a-c39a397f3998/resourceGroups/vubaongoc/providers/Microsoft.CognitiveServices/accounts/vuk123-resource"",""__SYSTEM__AIServices_vuk123resource"":""/subscriptions/0f5d8654-ca42-4917-a74a-c39a397f3998/resourceGroups/vubaongoc/providers/Microsoft.CognitiveServices/accounts/vuk123-resource""}","null"
"adam9911-nsg","Network security group","","Southeast Asia","Vuk123","rg-admin-5752_ai","{""__SYSTEM__AIServices_ai-ad1706ai681461480614"":""/subscriptions/8eaf8250-6182-4d7b-9c43-0b6927cd867d/resourceGroups/rg-Ad-6490_ai/providers/Microsoft.CognitiveServices/accounts/ai-ad1706ai681461480614""}","null"
"admin-7985_ai","Azure Machine Learning workspace","Hub","Southeast Asia","Vuk123","rg-admin-5752_ai","{""__SYSTEM__AIServices_vuk123resource"":""/subscriptions/0f5d8654-ca42-4917-a74a-c39a397f3998/resourceGroups/vubaongoc/providers/Microsoft.CognitiveServices/accounts/vuk123-resource"",""__SYSTEM__AzureOpenAI_ai-admin7985ai930742242078_aoai"":""/subscriptions/0f5d8654-ca42-4917-a74a-c39a397f3998/resourceGroups/rg-admin-5752_ai/providers/Microsoft.CognitiveServices/accounts/ai-admin7985ai930742242078"",""__SYSTEM__AzureOpenAI_vuk123resource_aoai"":""/subscriptions/0f5d8654-ca42-4917-a74a-c39a397f3998/resourceGroups/vubaongoc/providers/Microsoft.CognitiveServices/accounts/vuk123-resource"",""__SYSTEM__AIServices_ai-admin7985ai930742242078"":""/subscriptions/0f5d8654-ca42-4917-a74a-c39a397f3998/resourceGroups/rg-admin-5752_ai/providers/Microsoft.CognitiveServices/accounts/ai-admin7985ai930742242078""}","null"
"admin-9516","Azure Machine Learning workspace","Project","Southeast Asia","Vuk123","rg-admin-5752_ai","{}","null"
"ai-admin7985ai930742242078","Foundry","AIServices","Southeast Asia","Vuk123","rg-admin-5752_ai","null","null"
"DefaultWorkspace-0f5d8654-ca42-4917-a74a-c39a397f3998-NEU","Log Analytics workspace","","North Europe","Vuk123","rg-admin-5752_ai","{""databricks-environment"":""true"",""linked_azure_ai_project_id"":""/subscriptions/8eaf8250-6182-4d7b-9c43-0b6927cd867d/resourceGroups/AIFoundry/providers/Microsoft.CognitiveServices/accounts/aifoundry873706786827-resource/projects/aifoundry873706786827"",""agent_alert_category"":""evaluation""}","null"
"Dependency Latency Degradation - vubaongoc","Smart detector alert rule","","Global","Vuk123","rg-admin-5752_ai","{}","null"
"dungchien","Event Hubs Namespace","","Southeast Asia","Vuk123","rg-admin-5752_ai","{}","null"
"Exception Anomalies - vubaongoc","Smart detector alert rule","","Global","Vuk123","rg-admin-5752_ai","{}","null"
"Failure Anomalies - vubaongoc","Smart detector alert rule","","Global","Vuk123","rg-admin-5752_ai","{}","null"
"kv-admin798930742242078","Key vault","","Southeast Asia","Vuk123","rg-admin-5752_ai","{}","null"
"Potential Memory Leak - vubaongoc","Smart detector alert rule","","Global","Vuk123","rg-admin-5752_ai","{}","null"
"RecommendedAlertRules-AG-undefined","Action group","","Global","Vuk123","rg-admin-5752_ai","null","null"
"Response Latency Degradation - vubaongoc","Smart detector alert rule","","Global","Vuk123","rg-admin-5752_ai","{}","null"
"ServiceDesk(DefaultWorkspace-0f5d8654-ca42-4917-a74a-c39a397f3998-NEU)","Solution","","North Europe","Vuk123","rg-admin-5752_ai","{}","null"
"stadmin7985a930742242078","Storage account","StorageV2","Southeast Asia","Vuk123","rg-admin-5752_ai","{}","null"
"stadmin7985a930742242078-2d47abb3-69c6-4e8f-91ba-7e0a9a5ee797","Event Grid System Topic","","Southeast Asia","Vuk123","rg-admin-5752_ai","null","null"
